average m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
223.10772	1942.9	5/5	5.4%	223.10772	0.0	y(FG)	a(SY), b(EK)-H2O-NH3, a(ADV)-H2O-NH3, b(AAP)-NH3, b(ASV)-H2O-NH3, y(AAP)-H2O-NH3, a(DGI)-H2O-NH3, a(DGL)-H2O-NH3, a(EGV)-H2O-NH3, b(GIS)-H2O-NH3, b(GLS)-H2O-NH3, b(GTV)-H2O-NH3, a(PST)-H2O-NH3	
223.15537	3941.2	4/5	8.6%	223.15534	-0.13	a(HI)	a(HL)	
225.09828	2003.7	5/5	5.8%	225.09822	-0.27	a(DH)	b(HS), y(HS)-H2O, b(NQ)-H2O, b(AGN)-H2O, b(GGQ)-H2O	
225.12321	2864.0	3/5	14.8%	225.12337	0.71	a(D[Acetyl]L)-H2O	b(EI)-H2O, b(EL)-H2O, b(IQ)-NH3, y(IQ)-H2O-NH3, b(LQ)-NH3, y(LQ)-H2O-NH3, a(N[Acetyl]L)-NH3, b(S[Acetyl]L)-H2O, a(APT)-NH3, b(AAV)-NH3, b(AGI)-NH3, b(AGL)-NH3, y(AAV)-H2O-NH3, y(AGI)-H2O-NH3, y(AGL)-H2O-NH3, a(GG[Acetyl]L)-NH3, a(ISS)-H2O-NH3, a(LSS)-H2O-NH3, a(STV)-H2O-NH3	
226.0821	1935.8	3/5	10.1%	226.08223	0.58	b(DQ)-H2O	b(EN)-H2O, y(HS)-NH3, b(NQ)-NH3, b(ADG)-H2O, b(AGN)-NH3, b(EGG)-H2O, b(GGQ)-NH3, y(NQ)-H2O-NH3, y(AGN)-H2O-NH3, y(GGQ)-H2O-NH3, a(NSS)-H2O-NH3	
226.11859	7164.4	5/5	22.7%	226.11862	0.13	b(PQ)	b(AGP), y(EFR)^2, b(DK)-H2O, b(KN)-NH3, y(KN)-H2O-NH3, y(PQ)-H2O, a(AAE)-H2O, a(AAQ)-NH3, b(AAT)-H2O, y(AGP)-H2O, a(DGV)-H2O, a(GNV)-NH3, b(GGK)-NH3, b(GSV)-H2O, y(GGK)-H2O-NH3, a(PSS)-H2O	COM
226.15497	3386.4	3/5	14.1%	226.155	0.13	b(KP)	a(GPV), y(KP)-H2O, a(AAK)-NH3, a(AIS)-H2O, a(ALS)-H2O, a(ATV)-H2O, a(GIT)-H2O, a(GLT)-H2O	
227.06617	1009.1	3/5	5.5%	227.06625	0.35	b(DE)-H2O	b(DQ)-NH3, y(DQ)-H2O-NH3, b(EN)-NH3, y(EN)-H2O-NH3, b(ADG)-NH3, y(ADG)-H2O-NH3, a(DSS)-H2O-NH3, b(EGG)-NH3, y(EGG)-H2O-NH3, b(SSS)-H2O-NH3	
227.10259	2890.7	5/5	9.8%	227.10263	0.18	b(EP)	b(DK)-NH3, y(DK)-H2O-NH3, y(EP)-H2O, y(PQ)-NH3, a(AAE)-NH3, b(AAT)-NH3, y(AAT)-H2O-NH3, y(AGP)-NH3, a(DGV)-NH3, b(GSV)-NH3, y(GSV)-H2O-NH3, a(PSS)-NH3, a(STT)-H2O-NH3	
227.17538	4097.7	5/5	12.2%	227.1754	0.09	b(II)	b(IL), b(LL), y(II)-H2O, y(IL)-H2O, y(LL)-H2O	
228.13431	5126.5	5/5	18.9%	228.13427	-0.18	b(IN)	b(LN), b(QV), a(APS), b(AGV), a(GPT), b(GGI), b(GGL), y(IN)-H2O, y(LN)-H2O, y(QV)-H2O, a(ATT)-H2O, y(AGV)-H2O, a(GKS)-NH3, y(GGI)-H2O, y(GGL)-H2O, a(SSV)-H2O	COM
229.1183	5040.4	5/5	20.0%	229.11828	-0.09	b(DI)	b(DL), b(EV), y(DI)-H2O, y(DL)-H2O, y(EV)-H2O, y(IN)-NH3, y(LN)-NH3, y(QV)-NH3, a(ATT)-NH3, y(AGV)-NH3, y(GGI)-NH3, y(GGL)-NH3, a(SSV)-NH3, b(HRY)^2, b(NRW)^2, y(HRY)-H2O^2, y(NRW)-H2O^2	COM
230.0772	975.7	3/5	4.1%	230.07715	-0.22	b(DN)	b(DGG), y(DN)-H2O, y(NN)-NH3, y(DGG)-H2O, y(GGN)-NH3	
230.11357	1736.8	5/5	9.6%	230.11353	-0.17	a(EQ)	y(NP), b(QT), a(AAD), a(AEG), b(AAS), b(AGT), y(GGP), y(QT)-H2O, y(AAS)-H2O, y(AGT)-H2O, a(SST)-H2O	
230.14993	1422.1	3/5	5.4%	230.14992	-0.04	a(EK)	b(KT), a(ASV), a(GIS), a(GLS), a(GTV), y(KT)-H2O	
231.09749	1454.4	4/5	8.0%	231.09755	0.26	y(DP)	a(EE), b(ET), y(ET)-H2O, y(QT)-NH3, y(AAS)-NH3, y(AGT)-NH3, a(SST)-NH3	
232.14042	3304.3	5/5	6.2%	232.14042	0.0	y(GR)		
233.12844	817.5	4/5	2.9%	233.12845	0.04	a(PY)	y(FIW)^2, y(FLW)^2, b(APV)-H2O-NH3, b(GIP)-H2O-NH3, b(GLP)-H2O-NH3, a(PPT)-H2O-NH3	
233.16485	3849.6	5/5	9.1%	233.16484	-0.04	a(FI)	a(FL), a(PVV)-H2O-NH3	
234.14488	2544.4	4/5	12.3%	234.14483	-0.21	y(KS)		
235.10772	2961.1	5/5	9.9%	235.10772	0.0	b(AY)	a(DF), b(FS), y(AY)-H2O, y(FS)-H2O, b(GPP)-NH3, a(AEP)-H2O-NH3, b(APT)-H2O-NH3, y(GPP)-H2O-NH3, b(L[Acetyl]N)-H2O-NH3, b(GGL[Acetyl])-H2O-NH3	
235.119	1601.9	4/5	9.6%	235.11895	-0.21	b(HP)	y(HP)-H2O, a(AAH)-NH3	
235.14419	2319.1	3/5	6.9%	235.1441	-0.38	a(VY)	b(P[Acetyl]L)-H2O, a(AA[Acetyl]L)-H2O-NH3, b(AVV)-H2O-NH3, b(GIV)-H2O-NH3, b(GLV)-H2O-NH3, a(IPS)-H2O-NH3, a(LPS)-H2O-NH3, a(PTV)-H2O-NH3	
237.12335	1525.6	5/5	4.3%	237.12337	0.08	y(AF)	a(TY), a(ADI)-H2O-NH3, a(ADL)-H2O-NH3, a(AEV)-H2O-NH3, b(AIS)-H2O-NH3, b(ALS)-H2O-NH3, b(ATV)-H2O-NH3, a(EGI)-H2O-NH3, a(EGL)-H2O-NH3, a(GS[Acetyl]L)-H2O-NH3, b(GIT)-H2O-NH3, b(GLT)-H2O-NH3, b(GPV)-NH3, y(GPV)-H2O-NH3, a(PPS)-NH3, a(PTT)-H2O-NH3	
237.13464	1917.6	5/5	7.3%	237.1346	-0.17	b(HV)	y(HV)-H2O, b(PR)-NH3, a(ANP)-H2O, a(GPQ)-H2O, y(PR)-H2O-NH3, a(GKN)-H2O-NH3	
239.11388	2893.3	3/5	10.9%	239.11387	-0.04	a(EH)	b(HT), y(HT)-H2O, b(QQ)-H2O, b(AAN)-H2O, b(AGQ)-H2O	
240.09772	2673.1	3/5	14.8%	240.09788	0.67	b(EQ)-H2O	y(HT)-NH3, b(QQ)-NH3, y(QQ)-H2O-NH3, b(AAD)-H2O, b(AAN)-NH3, b(AEG)-H2O, b(AGQ)-NH3, y(AAN)-H2O-NH3, y(AGQ)-H2O-NH3, a(NST)-H2O-NH3, a(QSS)-H2O-NH3	
240.13424	3478.9	5/5	19.4%	240.13427	0.12	b(AAP)	b(EK)-H2O, b(KQ)-NH3, y(KQ)-H2O-NH3, a(ADV)-H2O, a(ANV)-NH3, b(AGK)-NH3, b(ASV)-H2O, y(AAP)-H2O, y(AGK)-H2O-NH3, a(DGI)-H2O, a(DGL)-H2O, a(EGV)-H2O, a(GIN)-NH3, a(GLN)-NH3, a(GQV)-NH3, b(GIS)-H2O, b(GLS)-H2O, b(GTV)-H2O, a(KSS)-H2O-NH3, a(PST)-H2O	
241.08179	1441.0	4/5	8.9%	241.0819	0.46	b(EE)-H2O	b(EQ)-NH3, y(EQ)-H2O-NH3, b(AAD)-NH3, b(AEG)-NH3, y(AAD)-H2O-NH3, y(AEG)-H2O-NH3, a(DST)-H2O-NH3, a(ESS)-H2O-NH3, b(SST)-H2O-NH3	
242.14988	4427.3	5/5	17.0%	242.14992	0.17	b(IQ)	b(LQ), a(APT), b(AAV), b(AGI), b(AGL), y(IQ)-H2O, y(LQ)-H2O, a(AKS)-NH3, y(AAV)-H2O, y(AGI)-H2O, y(AGL)-H2O, a(GKT)-NH3, a(ISS)-H2O, a(LSS)-H2O, a(STV)-H2O	
242.1862	1714.1	3/5	9.0%	242.1863	0.41	b(IK)	b(KL), a(AVV), a(GIV), a(GLV), y(IK)-H2O, y(KL)-H2O	
243.13391	4127.3	5/5	15.2%	243.13393	0.08	b(EI)	b(EL), y(EI)-H2O, y(EL)-H2O, y(IQ)-NH3, y(LQ)-NH3, y(AAV)-NH3, y(AGI)-NH3, y(AGL)-NH3, a(ISS)-NH3, a(LSS)-NH3, a(STV)-NH3	
244.09279	3263.8	5/5	11.3%	244.0928	0.04	b(DQ)	b(EN), b(ADG), b(EGG), y(DQ)-H2O, y(EN)-H2O, y(NQ)-NH3, y(ADG)-H2O, y(AGN)-NH3, a(DSS)-H2O, y(EGG)-H2O, y(GGQ)-NH3, a(NSS)-NH3, b(SSS)-H2O	
244.1293	1863.6	5/5	7.2%	244.12918	-0.49	b(DK)	y(PQ), a(AAE), b(AAT), y(AGP), a(DGV), b(GSV), a(PSS), y(DK)-H2O, y(KN)-NH3, y(AAT)-H2O, y(GGK)-NH3, y(GSV)-H2O, a(STT)-H2O	
244.1656	8682.5	5/5	20.5%	244.16557	-0.12	y(KP)	a(AIS), a(ALS), a(ATV), a(GIT), a(GLT)	COM
245.07667	1762.4	3/5	10.1%	245.07681	0.57	b(DE)	y(DE)-H2O, y(DQ)-NH3, y(EN)-NH3, y(ADG)-NH3, a(DSS)-NH3, y(EGG)-NH3, b(SSS)-NH3, y(SSS)-H2O-NH3, b(MM)-H2O	
245.12854	1224.2	3/5	3.2%	245.12845	-0.37	b(FP)	y(FP)-H2O, b(VY)-H2O, a(AAF)-NH3	
246.09074	635.2	3/5	2.8%	246.09069	-0.2	b(MN)	b(AAC), b(GGM), y(MN)-H2O, y(AAC)-H2O, a(CST)-H2O, a(GM[Oxidation]S)-H2O, y(GGM)-H2O	
246.15603	2568.4	5/5	7.0%	246.15607	0.16	y(AR)		
246.18126	3605.5	5/5	9.7%	246.18122	-0.16	y(KV)		
247.10762	926.4	3/5	5.0%	247.10772	0.4	a(EY)-H2O	a(QY)-NH3, b(TY)-H2O, a(AGY)-NH3, a(DPP)-H2O-NH3, a(FGS)-NH3, b(PPS)-H2O-NH3	
247.14413	663.7	3/5	3.2%	247.1441	-0.12	b(FV)	y(FV)-H2O, a(KY)-NH3, a(PPP)-NH3, b(AIP)-H2O-NH3, b(ALP)-H2O-NH3, a(GL[Acetyl]P)-H2O-NH3	
248.1605	1783.9	5/5	6.8%	248.16048	-0.08	y(KT)		
249.12338	1904.5	5/5	6.9%	249.12337	-0.04	a(EF)	b(FT), y(FT)-H2O, b(APP)-NH3, y(APP)-H2O-NH3, a(DPV)-H2O-NH3, b(PSV)-H2O-NH3	
249.15975	2916.0	5/5	8.6%	249.15975	0.0	a(IY)	a(LY), b(AIV)-H2O-NH3, b(ALV)-H2O-NH3, b(GII)-H2O-NH3, b(GIL)-H2O-NH3, b(GLL)-H2O-NH3, a(IPT)-H2O-NH3, a(LPT)-H2O-NH3, a(PPV)-NH3	
250.11863	598.3	3/5	1.8%	250.11862	-0.04	a(NY)	a(GGY), b(ANV)-H2O-NH3, b(GIN)-H2O-NH3, b(GLN)-H2O-NH3, b(GQV)-H2O-NH3, a(NPT)-H2O-NH3, a(PQS)-H2O-NH3	
251.10264	1572.4	4/5	7.5%	251.10263	-0.04	a(DY)	b(SY), y(SY)-H2O, b(ADV)-H2O-NH3, a(DPT)-H2O-NH3, b(DGI)-H2O-NH3, b(DGL)-H2O-NH3, a(EPS)-H2O-NH3, b(EGV)-H2O-NH3, b(PST)-H2O-NH3	
251.15022	2930.1	4/5	13.1%	251.15025	0.12	b(HI)	b(HL), y(HI)-H2O, y(HL)-H2O, a(APQ)-H2O, a(AKN)-H2O-NH3, a(GKQ)-H2O-NH3	
254.14989	1103.6	5/5	6.8%	254.14992	0.12	b(GPV)	a(PPS), a(ADI)-H2O, a(ADL)-H2O, a(AEV)-H2O, a(AIN)-NH3, a(ALN)-NH3, a(AQV)-NH3, b(AAK)-NH3, b(AIS)-H2O, b(ALS)-H2O, b(ATV)-H2O, y(AAK)-H2O-NH3, a(EGI)-H2O, a(EGL)-H2O, a(GIQ)-NH3, a(GLQ)-NH3, b(GIT)-H2O, b(GLT)-H2O, y(GPV)-H2O, a(KST)-H2O-NH3, a(PTT)-H2O	
255.14516	1894.1	3/5	10.9%	255.14517	0.04	y(HV)	a(ANP), a(GPQ), y(PR)-NH3, a(AQT)-H2O, a(DGK)-H2O, a(GKN)-NH3, b(GKS)-H2O, a(NSV)-H2O	
257.12451	878.4	3/5	4.9%	257.12443	-0.31	y(HT)	b(QQ), b(AAN), b(AGQ), y(QQ)-H2O, y(AAN)-H2O, y(AGQ)-H2O, a(NST)-H2O, a(QSS)-H2O	
257.16083	1274.0	3/5	9.3%	257.16082	-0.04	b(KQ)	a(ANV), b(AGK), a(GIN), a(GLN), a(GQV), y(KQ)-H2O, y(RV)-NH3, y(AGK)-H2O, a(KSS)-H2O	
258.10856	1466.2	4/5	8.0%	258.10845	-0.43	b(EQ)	b(AAD), b(AEG), y(EQ)-H2O, y(QQ)-NH3, y(AAD)-H2O, y(AAN)-NH3, y(AEG)-H2O, y(AGQ)-NH3, a(DST)-H2O, a(ESS)-H2O, a(NST)-NH3, a(QSS)-NH3, b(SST)-H2O	
258.14476	3316.1	5/5	20.6%	258.14483	0.27	b(EK)	a(ADV), b(ASV), y(AAP), a(DGI), a(DGL), a(EGV), b(GIS), b(GLS), b(GTV), a(PST), y(EK)-H2O, y(KQ)-NH3, y(AGK)-NH3, y(ASV)-H2O, y(GIS)-H2O, y(GLS)-H2O, y(GTV)-H2O, a(KSS)-NH3, a(TTT)-H2O	
259.09244	1125.8	4/5	5.3%	259.09246	0.08	b(EE)	y(EE)-H2O, y(EQ)-NH3, y(AAD)-NH3, y(AEG)-NH3, a(DST)-NH3, a(ESS)-NH3, b(SST)-NH3, y(SST)-H2O-NH3, a(M[Acetyl]M)-H2O	
260.10638	857.6	3/5	4.2%	260.10634	-0.15	b(C[Carbamidomethyl]V)	b(MQ), a(N[Acetyl]M), b(AGM), a(CPS), b(CGV), a(GG[Acetyl]M), y(C[Carbamidomethyl]V)-H2O, y(MQ)-H2O, a(AM[Oxidation]S)-H2O, y(AGM)-H2O, a(CTT)-H2O, y(CGV)-H2O, a(GM[Oxidation]T)-H2O, a(MSS)-H2O, b(FF)-H2O-NH3, a(DGN)+i, b(GNS)+i, y(GNS)-H2O+i	
260.19685	7165.8	5/5	19.4%	260.19687	0.08	y(IK)	y(KL)	COM
261.15585	2788.9	3/5	7.6%	261.15573	-0.46	y(KN)	y(GGK)	
262.11861	639.1	3/5	2.8%	262.11862	0.04	b(FN)	y(GW), b(FGG), y(FN)-H2O, y(FGG)-H2O, a(GSY)-H2O, b(APQ)-H2O-NH3	
262.1398	2657.6	3/5	6.9%	262.13975	-0.19	y(DK)	y(AAT), y(GSV), a(STT)	
262.15109	1061.5	4/5	5.0%	262.15098	-0.42	y(RS)		
263.10269	970.0	3/5	4.2%	263.10263	-0.23	b(DF)	y(DF)-H2O, y(FN)-NH3, b(AEP)-H2O-NH3, y(FGG)-NH3, a(GSY)-NH3	
265.11825	1049.6	5/5	5.3%	265.11828	0.11	a(EY)	b(TY), y(TY)-H2O, b(ADI)-H2O-NH3, b(ADL)-H2O-NH3, b(AEV)-H2O-NH3, a(DPP)-NH3, a(EPT)-H2O-NH3, b(EGI)-H2O-NH3, b(EGL)-H2O-NH3, b(PPS)-NH3, b(PTT)-H2O-NH3, y(PPS)-H2O-NH3	
266.14993	613.6	3/5	3.0%	266.14992	-0.04	b(APP)	y(APP)-H2O, a(DPV)-H2O, b(GKP)-NH3, a(NPV)-NH3, b(PSV)-H2O, a(AEK)-H2O-NH3, b(AKT)-H2O-NH3, y(GKP)-H2O-NH3, a(INT)-H2O-NH3, a(IQS)-H2O-NH3, a(LNT)-H2O-NH3, a(LQS)-H2O-NH3, a(QTV)-H2O-NH3, b(L[Acetyl]Q)-H2O, b(AGL[Acetyl])-H2O	
267.10877	1948.9	3/5	7.7%	267.10878	0.04	b(EH)	y(EH)-H2O, y(HQ)-NH3, y(AGH)-NH3, a(HSS)-NH3, a(NNT)-H2O-NH3, a(NQS)-H2O-NH3	
267.11611	345.8	3/5	2.0%	267.11618	0.26	a(FM[Oxidation])	a(MY), b(AMV)-H2O-NH3, b(CVV)-H2O-NH3, b(GIM)-H2O-NH3, b(GLM)-H2O-NH3, a(MPT)-H2O-NH3	
267.14921	494.9	3/5	1.6%	267.14919	-0.07	a(FF)		
268.16555	1092.9	3/5	6.3%	268.16557	0.07	b(APV)	b(GIP), b(GLP), a(PPT), a(AEI)-H2O, a(AEL)-H2O, a(AIQ)-NH3, a(ALQ)-NH3, b(AIT)-H2O, b(ALT)-H2O, y(APV)-H2O, a(DVV)-H2O, b(GKV)-NH3, y(GIP)-H2O, y(GKV)-H2O-NH3, y(GLP)-H2O, a(KPS)-NH3, a(KTT)-H2O-NH3, a(NVV)-NH3, b(SVV)-H2O	
270.14486	538.4	3/5	3.8%	270.14483	-0.11	a(AEP)	b(APT), y(GPP), a(ADK)-NH3, b(AKS)-NH3, y(AKS)-H2O-NH3, y(APT)-H2O, a(DIS)-H2O, a(DLS)-H2O, a(DTV)-H2O, a(EGK)-NH3, a(ESV)-H2O, b(GKT)-NH3, y(GKT)-H2O-NH3, a(INS)-NH3, b(ISS)-H2O, a(LNS)-NH3, b(LSS)-H2O, a(NTV)-NH3, a(QSV)-NH3, b(STV)-H2O	
270.18114	1239.9	3/5	4.0%	270.18122	0.3	b(AVV)	b(GIV), b(GLV), a(IPS), a(LPS), a(PTV), y(AVV)-H2O, y(GIV)-H2O, y(GLV)-H2O, a(ITT)-H2O, a(KSV)-NH3, a(LTT)-H2O	
271.17645	1479.7	4/5	7.2%	271.17647	0.07	a(AIN)	a(ALN), a(AQV), b(AAK), a(GIQ), a(GLQ), y(IR)-NH3, y(LR)-NH3, y(AAK)-H2O, a(KST)-H2O	
272.17167	5022.2	3/5	15.2%	272.17172	0.18	y(PR)	a(GKN)	
274.18735	1960.2	4/5	7.2%	274.18737	0.07	y(RV)		
275.1714	1123.3	3/5	8.1%	275.17138	-0.07	y(KQ)	y(AGK), a(KSS)	
276.13431	600.0	3/5	3.9%	276.13427	-0.14	y(AW)	b(FQ), b(AFG), y(FQ)-H2O, a(ASY)-H2O, y(AFG)-H2O, a(FSS)-H2O, a(GTY)-H2O, b(NPV)-H2O-NH3	
276.15543	1217.2	4/5	8.7%	276.1554	-0.11	y(EK)	y(ASV), y(GIS), y(GLS), y(GTV), a(TTT), b(HR)-H2O	
276.16669	526.9	3/5	3.8%	276.16663	-0.22	y(RT)		
277.11835	1300.4	3/5	5.4%	277.11828	-0.25	b(EF)	y(EF)-H2O, y(FQ)-NH3, a(ASY)-NH3, y(AFG)-NH3, b(DPV)-H2O-NH3, a(FSS)-NH3, a(GTY)-NH3	
278.15333	810.9	3/5	5.4%	278.15329	-0.14	y(KM)		
279.09757	795.8	4/5	3.0%	279.09755	-0.07	b(DY)	y(DY)-H2O, y(NY)-NH3, a(DEP)-H2O-NH3, b(DPT)-H2O-NH3, b(EPS)-H2O-NH3, y(GGY)-NH3	
283.14405	1035.7	3/5	2.6%	283.1441	0.18	a(FY)	b(IW)-NH3, y(IW)-H2O-NH3, b(LW)-NH3, y(LW)-H2O-NH3, b(AFV)-H2O-NH3, a(FPT)-H2O-NH3, b(FGI)-H2O-NH3, b(FGL)-H2O-NH3	
284.16051	526.9	3/5	4.4%	284.16048	-0.11	y(APP)	a(DPV), b(PSV), a(AEK)-NH3, b(AKT)-NH3, a(DIT)-H2O, a(DLT)-H2O, a(EIS)-H2O, a(ELS)-H2O, a(ETV)-H2O, y(GKP)-NH3, a(INT)-NH3, a(IQS)-NH3, b(IST)-H2O, a(LNT)-NH3, a(LQS)-NH3, b(LST)-H2O, y(PSV)-H2O, a(QTV)-NH3, b(TTV)-H2O, b(L[Acetyl]Q), b(AGL[Acetyl]), y(AKT)-H2O-NH3, y(L[Acetyl]Q)-H2O, y(AGL[Acetyl])-H2O, a(L[Acetyl]SS)-H2O	
286.13972	1295.5	4/5	6.5%	286.13975	0.1	b(ADV)	a(DPT), b(DGI), b(DGL), a(EPS), b(EGV), b(PST), y(ADV)-H2O, y(ANV)-NH3, a(DKS)-NH3, y(DGI)-H2O, y(DGL)-H2O, a(ETT)-H2O, y(EGV)-H2O, y(GIN)-NH3, y(GLN)-NH3, y(GQV)-NH3, b(KSS)-NH3, y(PST)-H2O, a(QTT)-NH3, b(TTT)-H2O, y(KSS)-H2O-NH3	
288.203	4900.1	5/5	16.1%	288.20302	0.07	y(IR)	y(LR)	
290.14596	918.9	3/5	4.4%	290.1459	-0.21	y(DR)		
292.12916	921.7	3/5	4.2%	292.12918	0.07	b(QY)	y(SW), b(AGY), a(DFG), b(FGS), y(QY)-H2O, y(AGY)-H2O, b(DPP)-H2O, a(EPQ)-H2O-NH3, y(FGS)-H2O, b(NPP)-NH3, y(NPP)-H2O-NH3, b(PQT)-H2O-NH3, a(SSY)-H2O	
293.11313	588.8	3/5	4.1%	293.1132	0.24	b(EY)	y(EY)-H2O, y(QY)-NH3, y(AGY)-NH3, b(DG[Acetyl]L)-H2O-NH3, b(DPP)-NH3, y(DPP)-H2O-NH3, a(EEP)-H2O-NH3, b(EPT)-H2O-NH3, y(FGS)-NH3, a(SSY)-NH3	
294.18128	1465.9	4/5	6.9%	294.18122	-0.2	y(FK)	b(PPV), a(EIP)-H2O, a(ELP)-H2O, a(IPQ)-NH3, b(IPT)-H2O, a(LPQ)-NH3, b(LPT)-H2O, y(PPV)-H2O, a(DIK)-H2O-NH3, a(DKL)-H2O-NH3, a(EKV)-H2O-NH3, b(IKS)-H2O-NH3, b(KLS)-H2O-NH3, b(KTV)-H2O-NH3, b(GL[Acetyl]V)-H2O, a(L[Acetyl]PS)-H2O	
298.21257	642.2	3/5	2.1%	298.21252	-0.17	b(AII)	b(AIL), b(ALL), b(VVV), y(AII)-H2O, y(AIL)-H2O, y(ALL)-H2O, a(IKT)-NH3, a(KLT)-NH3, y(VVV)-H2O	
299.06173	1429.5	5/5	3.9%	299.06309	4.55	a(CCH)-NH3		
299.17145	1069.0	4/5	5.2%	299.17138	-0.23	b(AIN)	b(ALN), b(AQV), b(GIQ), b(GLQ), a(PQT), y(AIN)-H2O, y(ALN)-H2O, y(AQV)-H2O, a(DKT)-H2O, a(EKS)-H2O, y(GIQ)-H2O, y(GLQ)-H2O, a(KNT)-NH3, a(KQS)-NH3, b(KST)-H2O	
300.15546	1057.8	4/5	5.6%	300.1554	-0.2	b(ADI)	b(ADL), b(AEV), a(EPT), b(EGI), b(EGL), b(PTT), y(PPS), y(ADI)-H2O, y(ADL)-H2O, y(AEV)-H2O, y(AIN)-NH3, y(ALN)-NH3, y(AQV)-NH3, a(DKT)-NH3, a(EKS)-NH3, y(EGI)-H2O, y(EGL)-H2O, y(GIQ)-NH3, y(GLQ)-NH3, b(KST)-NH3, y(KST)-H2O-NH3, y(PTT)-H2O, a(AHH)-H2O	
301.12934	1004.4	3/5	5.7%	301.12952	0.6	b(HY)	b(NW), b(GGW), y(HY)-H2O, y(NW)-H2O, b(FGN)-H2O, y(GGW)-H2O, a(EHP)-H2O-NH3, b(HPT)-H2O-NH3	
302.14996	673.7	3/5	2.3%	302.14992	-0.13	y(PW)	b(FGP), a(AEF)-H2O, a(AFQ)-NH3, b(AFT)-H2O, y(FGP)-H2O, b(GVY)-H2O, a(PSY)-H2O	
303.17749	1173.3	3/5	6.1%	303.17753	0.13	y(QR)	y(AGR), a(RSS)	
304.1616	2071.5	3/5	8.7%	304.16155	-0.16	y(ER)		
310.17612	1108.1	3/5	8.1%	310.17613	0.03	y(KY)	b(GP[Acetyl]L), y(PPP), a(AE[Acetyl]L)-H2O, a(AQ[Acetyl]L)-NH3, b(AT[Acetyl]L)-H2O, b(DIV)-H2O, b(DLV)-H2O, a(EKP)-NH3, b(EVV)-H2O, y(GP[Acetyl]L)-H2O, b(INV)-NH3, y(INV)-H2O-NH3, b(KPT)-NH3, y(KPT)-H2O-NH3, b(LNV)-NH3, y(LNV)-H2O-NH3, b(QVV)-NH3, y(QVV)-H2O-NH3	
311.17133	611.9	3/5	5.9%	311.17138	0.16	b(NPV)	b(AEK)-H2O, b(AKQ)-NH3, a(DIQ)-H2O, a(DLQ)-H2O, a(EIN)-H2O, a(ELN)-H2O, a(EQV)-H2O, a(INQ)-NH3, b(INT)-H2O, b(IQS)-H2O, a(LNQ)-NH3, b(LNT)-H2O, b(LQS)-H2O, y(NPV)-H2O, a(QQV)-NH3, b(QTV)-H2O, y(HL[Acetyl]), y(AKQ)-H2O-NH3, a(L[Acetyl]NS)-H2O	
313.187	894.4	3/5	4.9%	313.18703	0.1	b(AIQ)	b(ALQ), a(DKP), b(KPS), b(NVV), y(AIQ)-H2O, y(ALQ)-H2O, a(EKT)-H2O, a(KQT)-NH3, b(KTT)-H2O, y(KPS)-H2O, y(NVV)-H2O	
315.20273	512.6	3/5	1.7%	315.20268	-0.16	y(AKP)	a(DKV), a(IQT), b(KSV), a(LQT), y(GKK)-NH3, y(KSV)-H2O	
317.21842	905.3	3/5	4.8%	317.21833	-0.28	y(AKV)	y(GIK), y(GKL)	
322.18739	1234.0	3/5	6.4%	322.18737	-0.06	y(FR)	b(AHI), b(AHL), y(AHI)-H2O, y(AHL)-H2O, a(HKT)-NH3, b(KNP)-H2O, a(GHL[Acetyl]), a(DIR)-H2O-NH3, a(DLR)-H2O-NH3, a(ERV)-H2O-NH3, b(IRS)-H2O-NH3, a(KQQ)-H2O-NH3, b(LRS)-H2O-NH3, b(RTV)-H2O-NH3	
326.17099	547.4	3/5	4.9%	326.17105	0.18	b(DIP)	b(DLP), b(EPV), b(DKV)-NH3, y(DIP)-H2O, y(DKV)-H2O-NH3, y(DLP)-H2O, a(EEI)-H2O, a(EEL)-H2O, a(EIQ)-NH3, a(ELQ)-NH3, b(EIT)-H2O, b(ELT)-H2O, y(EPV)-H2O, b(IQT)-NH3, y(INP)-NH3, y(IQT)-H2O-NH3, b(LQT)-NH3, y(LNP)-NH3, y(LQT)-H2O-NH3, y(PQV)-NH3, a(HHP)-H2O	
337.18702	176.6	3/5	1.6%	337.18703	0.03	b(DKK)-H2O-NH3	b(EKP)-H2O, y(HVV)-NH3, b(KPQ)-NH3, y(KPQ)-H2O-NH3	
338.18226	1020.6	3/5	6.2%	338.18228	0.06	y(RY)	a(DHI), a(DHL), a(EHV), b(HIS), b(HLS), b(HTV), y(AHK)-NH3, a(EPR)-NH3, y(HIS)-H2O, y(HLS)-H2O, y(HTV)-H2O, b(INQ)-H2O, b(LNQ)-H2O, a(NN[Acetyl]L)-H2O, b(PRT)-NH3, y(PRT)-H2O-NH3, b(QQV)-H2O	
345.2133	147.1	3/5	1.5%	345.21325	-0.14	y(INV)	y(KPT), y(LNV), y(QVV), y(KKS)-NH3, a(HPR)-H2O	
359.02842	1476.3	4/5	4.3%	?	?	?	?	
360.02887	687.6	3/5	3.3%	?	?	?	?	
361.02632	482.9	3/5	2.7%	?	?	?	?	
399.2351	154.1	3/5	2.3%	399.23504	-0.15	a(DR[Acetyl]L)	b(EIR), b(ELR), b(RS[Acetyl]L)	
